ward,precinct,name,address,accessible
48,10,Swedish American Museum,5211 N Clark St,True
48,11,The North Shore Bapt Church,5244 N Lakewood Av,True
48,12,Pines Of Edgewater Apartments,5220 N Kenmore Av,True
48,13,Granville Beach Condo,6171 N Sheridan Rd,True
48,14,5445 Edgewater Plz Condo,5445 N Sheridan Rd,True
48,15,Berger Park,6205 N Sheridan Rd,True
48,16,Fisher Apartments,5821 N Broadway,True
48,17,Castleman Apartments,4945 N Sheridan Rd,True
48,18,Hollywood House,5700 N Sheridan Rd,True
48,19,St Ita Hall Jubilee,5500 N Broadway,True
48,20,Stephen K Hayt Elementary Sch,1530 W Granville Av,True
48,21,The Kenmore Apartments,5040 N Kenmore Av,True
48,22,Malibu East Condo,6033 N Sheridan Rd,True
48,23,The Admiral At The Lake,929 W Foster Av,True
48,24,Margate Park,4921 N Marine Dr,True
48,25,Granville Methodist Church,1307 W Granville Av,False
48,26,Hollywood House,5700 N Sheridan Rd,True
48,27,Sovereign,1040 W Granville Av,True
48,28,Kenmore Plaza/Habitat Co,5225 N Kenmore Av,True
48,29,Breakers At Edgewater Beach,5333 N Sheridan Rd,True
48,30,Edgewater Branch Library,6000 N Broadway,True
48,31,Swift School,5900 N Winthrop Av,True
48,32,Metropolis Coffee Co,1039 W Granville Av,True
48,33,Malibu Condo,6007 N Sheridan Rd,True
48,34,Granville Methodist Church,1307 W Granville Av,False
48,35,White Chapel Apts LLC,4910 N Sheridan Rd,True
48,36,Edgewater Plaza Condo,5455 N Sheridan Rd,True
48,37,Peirce School,1423 W Bryn Mawr Av,True
48,38,Immanuel Evangelical Luth Church,1500 W Elmdale Av,True
48,39,Hollywood Towers,5701 N Sheridan Rd,True
48,40,Edgewater Branch Library,6000 N Broadway,True
48,41,Church Of Atonement Episcopal,5749 N Kenmore Av,True
48,42,Senn Metro Academy,5900 N Glenwood Av,True
48,43,Edgewater Presbyterian Church,1020 W Bryn Mawr Av,False
48,44,Peirce School,1423 W Bryn Mawr Av,True
48,45,Granville Methodist Church,1307 W Granville Av,False
48,46,Shoreline Towers Condo,6301 N Sheridan Rd,True
49,1,Gale School,7650 N Marshfield Av,True
49,2,St Ignatius Church,6559 N Glenwood Av,False
49,3,Ethiopian Cmty Assoc Of Chicago,1730 W Greenleaf Av,True
