name,address,accessible,wards_precincts
Trumball Park,"2400 E 105 St, Chicago, IL",True,"ward 7 precinct 44, ward 7 precinct 45"
Tilden Community Academy,"4747 S Union Av, Chicago, IL",True,ward 11 precinct 28
Fosco Pk Fieldhouse,"1312 S Racine Av, Chicago, IL",True,ward 25 precinct 20
Stratford Christian Center Church,"9152 S Ashland Av, Chicago, IL",True,ward 21 precinct 14
Jesse Owens School,"12450 S State St, Chicago, IL",True,"ward 9 precinct 41, ward 9 precinct 44"
OToole School,"6550 S Seeley Av, Chicago, IL",True,ward 16 precinct 24
Morningside Ct Apartments,"1250 W Morse Av, Chicago, IL",True,ward 49 precinct 26
Long Grove House,"2001 S Michigan Av, Chicago, IL",True,ward 3 precinct 40
Peck School,"3826 W 58 St, Chicago, IL",True,ward 13 precinct 3
Bezazian Library,"1226 W Ainslie St, Chicago, IL",True,ward 46 precinct 16
The Martha Washington Apts,"2324 W Irving Park Rd, Chicago, IL",True,ward 47 precinct 3
Sandburg Village,"1460 N Sandburg Terr, Chicago, IL",True,ward 2 precinct 37
Sutherland School,"10015 S Leavitt St, Chicago, IL",True,"ward 19 precinct 2, ward 19 precinct 22"
Rosehaven Manor,"10220 S Michigan Av, Chicago, IL",True,ward 9 precinct 17
Lamon Baptist Church,"2551 N Lamon Av, Chicago, IL",False,ward 31 precinct 37
St Benedict The African West,"7033 S Honore St, Chicago, IL",False,ward 17 precinct 31
Epiphany Parish,"2524 S Keeler Av, Chicago, IL",True,ward 22 precinct 17
Gresham School Of Excellence,"8510 S Green St, Chicago, IL",True,"ward 21 precinct 17, ward 21 precinct 34"
Circle Park Apartments,"1111 S Ashland Av, Chicago, IL",True,ward 28 precinct 18
Las Moradas Apts,"1307 N California Av, Chicago, IL",True,"ward 26 precinct 25, ward 26 precinct 26"
Kizin Creole Restaurant,"2311 W Howard St, Chicago, IL",True,ward 49 precinct 21
O Hallaren Park,"8335 S Honore St, Chicago, IL",True,ward 21 precinct 15
1700 E 56th St Condo Assoc,"1700 E 56 St, Chicago, IL",True,"ward 5 precinct 35, ward 5 precinct 41"
New Life Community Church,"5101 S Keeler Av, Chicago, IL",True,ward 23 precinct 26
West Point Plaza,"300 S Damen Av, Chicago, IL",True,ward 27 precinct 41
St Marys Parish Center,"4626 W 63 St, Chicago, IL",True,"ward 13 precinct 25, ward 13 precinct 36"
West Englewood U M Ch,"2000 W 68 St, Chicago, IL",True,ward 16 precinct 16
Wolfe Park,"3325 E 108 St, Chicago, IL",True,ward 10 precinct 33
United Church Of Hyde Park,"1448 E 53 St, Chicago, IL",True,ward 4 precinct 27
40 Cedar Condo Assoc,"40 E Cedar St, Chicago, IL",True,ward 2 precinct 34
Compassion Baptist Church,"2650 E 95 St, Chicago, IL",True,"ward 7 precinct 34, ward 7 precinct 35"
Smith Park,"9912 S Princeton Av, Chicago, IL",True,ward 9 precinct 20
Solomons Universal Temple Of Peace,"412 W 107 St, Chicago, IL",True,"ward 34 precinct 4, ward 34 precinct 22"
Morton Sch Of Excellence,"431 N Troy St, Chicago, IL",True,ward 27 precinct 31
The Hallmark,"2960 N Lake Shore Dr, Chicago, IL",True,ward 44 precinct 4
Christian Missionary Baptist Church,"132 W 104 St, Chicago, IL",True,ward 34 precinct 18
Trinty Hospital,"2320 E 93 St, Chicago, IL",True,ward 7 precinct 37
Stowe School,"3444 W Wabansia Av, Chicago, IL",True,ward 26 precinct 14
West Englewood Library,"1745 W 63 St, Chicago, IL",True,ward 15 precinct 18
Clinton School,"6131 N California Av, Chicago, IL",True,"ward 50 precinct 17, ward 50 precinct 29"
Harris Bank,"6400 S Pulaski Rd, Chicago, IL",True,ward 13 precinct 28
Midwest Terrace Apartments,"150 S Campbell Av, Chicago, IL",True,ward 27 precinct 50
Chicago Dept On Aging,"2019 W Lawrence Av, Chicago, IL",True,"ward 47 precinct 26, ward 47 precinct 38"
Happy Village,"1059 N Wolcott Av, Chicago, IL",False,ward 2 precinct 3
Chicago Fire Station,"5758 W Grace St, Chicago, IL",True,ward 38 precinct 23
Anna R Langford Cmty Academy,"6010 S Throop St, Chicago, IL",False,ward 16 precinct 14
City Church Chicago,"777 N Green St, Chicago, IL",True,ward 27 precinct 35
Wheeler House,"1450 W 69 St, Chicago, IL",True,"ward 17 precinct 13, ward 17 precinct 35"
Miles Davis Magnet Acdy,"6740 S Paulina St, Chicago, IL",True,ward 16 precinct 29
Chicago Ward Yard,"5556 S Central Av, Chicago, IL",True,ward 23 precinct 29
Wrightwood Ashburn Branch,"8530 S Kedzie Av, Chicago, IL",True,ward 18 precinct 10
Lincoln Park High School,"2001 N Orchard St, Chicago, IL",True,"ward 43 precinct 3, ward 43 precinct 11"
The Victory Missionary Baptist Church,"7106 S Rockwell St, Chicago, IL",True,ward 18 precinct 5
Drew School,"9300 S Princeton Av, Chicago, IL",True,ward 21 precinct 39
Mt Sinai Church,"310 N Laramie Av, Chicago, IL",False,"ward 28 precinct 14, ward 28 precinct 41"
Allen Metropolitan Church,"10946 S Lowe Av, Chicago, IL",True,ward 34 precinct 36
Corner Stone Presbyterian Church,"11200 S State St, Chicago, IL",True,ward 34 precinct 38
Boys/Girls Club Of Chicago,"2211 N Sawyer Av, Chicago, IL",True,ward 32 precinct 12
Schubert School,"2727 N Long Av, Chicago, IL",True,ward 31 precinct 20
Brainerd Library,"1350 W 89 St, Chicago, IL",True,ward 21 precinct 50
Wentworth Commons Apartments,"11045 S Wentworth Av, Chicago, IL",True,"ward 34 precinct 28, ward 34 precinct 39"
Granville Methodist Church,"1307 W Granville Av, Chicago, IL",False,"ward 48 precinct 25, ward 48 precinct 34, ward 48 precinct 45"
Stock School,"7507 W Birchwood Av, Chicago, IL",True,"ward 41 precinct 2, ward 41 precinct 40"
Belmont Towers,"510 W Belmont Av, Chicago, IL",True,ward 44 precinct 28
Mercy Seat M B Church,"4656 W Erie St, Chicago, IL",True,ward 28 precinct 38
Preston Bradley Center,"941 W Lawrence Av, Chicago, IL",True,"ward 46 precinct 4, ward 46 precinct 21"
Tanner School,"7350 S Evans Av, Chicago, IL",True,ward 6 precinct 39
Mather High School,"5835 N Lincoln Av, Chicago, IL",True,"ward 40 precinct 2, ward 40 precinct 29"
Shoop School,"1460 W 112 St, Chicago, IL",True,ward 34 precinct 13
Holy Apostolic Catholic Assyr Ch,"7201 N Ashland Av, Chicago, IL",True,ward 49 precinct 22
33 West Ontario Millennium Condo,"33 W Ontario St, Chicago, IL",True,ward 42 precinct 20
Cornell Park,"1809 W 50 St, Chicago, IL",True,ward 15 precinct 14
The Salvation Army ARC,"4052 W Grand Av, Chicago, IL",True,ward 26 precinct 15
Hamburg Athletic Association,"3523 S Emerald Av, Chicago, IL",False,ward 11 precinct 21
Ark Of Love Apostolic Ch Of God,"1655 W 79 St, Chicago, IL",True,ward 17 precinct 38
Fernwood School,"10041 S Union Av, Chicago, IL",False,ward 34 precinct 34
Mayfield Care Center,"5905 W Washington Bv, Chicago, IL",True,ward 29 precinct 20
Augustana Lutheran Ch,"5500 S Woodlawn Av, Chicago, IL",True,ward 5 precinct 3
Murphys Windows,"10359 S Pulaski Rd, Chicago, IL",True,ward 19 precinct 12
Marcellos Restaurant,"645 W North Av, Chicago, IL",True,ward 2 precinct 9
Jamieson School,"5650 N Mozart St, Chicago, IL",True,"ward 40 precinct 30, ward 40 precinct 34"
Commonwealth Community Church,"140 W 81 St, Chicago, IL",True,ward 17 precinct 21
Pioneer Co - Op,"5429 S Dorchester Av, Chicago, IL",False,ward 5 precinct 19
St Camillus Hall,"5450 S Lockwood Av, Chicago, IL",True,ward 23 precinct 8
Burnside School,"650 E 91 Pl, Chicago, IL",True,ward 8 precinct 15
Roden Library,"6083 N Northwest, Chicago, IL",True,ward 41 precinct 22
St Constance School,"5864 W Ainslie St, Chicago, IL",True,"ward 45 precinct 21, ward 45 precinct 22, ward 45 precinct 28, ward 45 precinct 29"
Cameron School,"1234 N Monticello Av, Chicago, IL",True,ward 26 precinct 31
South Chicago Dodge,"7340 S Western Av, Chicago, IL",True,ward 18 precinct 33
175 Delaware Pl Condo,"175 E Delaware Pl, Chicago, IL",True,ward 2 precinct 19
Fairmont Care Ctr,"5061 N Pulaski Rd, Chicago, IL",True,ward 39 precinct 29
Faith Evangelical Church,"8300 S Sangamon St, Chicago, IL",True,ward 21 precinct 51
Immaculate Heart Of Mary,"3820 N Spaulding Av, Chicago, IL",True,ward 33 precinct 16
Jensen Park,"4650 N Lawndale Av, Chicago, IL",True,"ward 35 precinct 22, ward 35 precinct 30"
Ashburn United Methodist Church,"3801 W 83 Pl, Chicago, IL",False,ward 18 precinct 29
Sovereign,"1040 W Granville Av, Chicago, IL",True,ward 48 precinct 27
St Jane De Chantal,"5157 S Mc Vicker Av, Chicago, IL",True,"ward 14 precinct 4, ward 14 precinct 24"
Empty Store Front,"5326 S Archer Av, Chicago, IL",True,ward 14 precinct 18
Dearborn Homes,"2731 S Dearborn St, Chicago, IL",True,ward 3 precinct 18
St Mark Lutheran Church,"655 E 88 St, Chicago, IL",True,ward 6 precinct 13
Westcott School,"409 W 80 St, Chicago, IL",True,"ward 17 precinct 39, ward 21 precinct 4"
Joshua M B Church,"3255 W Carroll Av, Chicago, IL",True,ward 28 precinct 2
Good Shepherd Presbyterian Ch,"5550 S Merrimac Av, Chicago, IL",True,ward 13 precinct 48
Lakeview Tower Apartments,"4550 N Clarendon Av, Chicago, IL",True,ward 46 precinct 14
The North Shore Bapt Church,"5244 N Lakewood Av, Chicago, IL",True,"ward 48 precinct 2, ward 48 precinct 11"
Concordia Lutheran Ch,"3855 N Seeley Av, Chicago, IL",False,ward 47 precinct 2
Bethel Lutheran Church,"6201 S Sangamon St, Chicago, IL",True,ward 16 precinct 27
Hollywood Towers,"5701 N Sheridan Rd, Chicago, IL",True,ward 48 precinct 39
Mt Vernon School,"10540 S Morgan St, Chicago, IL",False,"ward 34 precinct 21, ward 34 precinct 48"
Bass School,"1140 W 66 St, Chicago, IL",True,"ward 6 precinct 24, ward 16 precinct 30"
Cragin Park,"2611 N Lockwood Av, Chicago, IL",True,ward 31 precinct 28
Wrightwood Senior Apt,"2815 W 79 St, Chicago, IL",True,ward 18 precinct 22
Our Saviour Luth Church,"3457 N Neva Av, Chicago, IL",False,ward 38 precinct 5
Merit School Of Music,"38 S Peoria St, Chicago, IL",True,"ward 25 precinct 3, ward 25 precinct 10"
St Anthony Chapel,"214 E Kensington Av, Chicago, IL",False,ward 9 precinct 28
Kellman Corporate Community Sch,"3030 W Arthington St, Chicago, IL",True,ward 28 precinct 35
Sauganash Park,"5861 N Kostner Av, Chicago, IL",True,"ward 39 precinct 1, ward 39 precinct 4, ward 39 precinct 37, ward 39 precinct 40"
Volta School,"4950 N Avers Av, Chicago, IL",False,ward 39 precinct 12
Brands Pk,"3259 N Elston Av, Chicago, IL",True,ward 33 precinct 9
Carnitas Don Rafa Restaurant,"4617 S Kedzie Av, Chicago, IL",True,ward 14 precinct 31
Walsh Apartments,"1734 N Paulina St, Chicago, IL",True,ward 32 precinct 33
Burr School,"1621 W Wabansia Av, Chicago, IL",True,ward 32 precinct 35
Roosevelt High School,"3436 W Wilson Av, Chicago, IL",True,ward 33 precinct 27
Zion Hill Bapt Church,"1460 W 78 St, Chicago, IL",False,ward 17 precinct 27
Oakley Square,"2334 W Van Buren St, Chicago, IL",True,ward 27 precinct 18
Historic Pullman Foundation,"11141 S Cottage Grove, Chicago, IL",True,ward 9 precinct 37
3600 Lake Shore Condo Assoc,"3600 N Lake Shore Dr, Chicago, IL",True,ward 46 precinct 19
Clearing Branch Library,"6423 W 63 Pl, Chicago, IL",True,"ward 13 precinct 4, ward 23 precinct 2, ward 23 precinct 23"
Eddies Hall,"3634 W North Av, Chicago, IL",True,ward 26 precinct 11
Robichaux Park,"9247 S Eggleston Av, Chicago, IL",True,"ward 21 precinct 35, ward 21 precinct 40"
St Cajetan School,"2447 W 112 St, Chicago, IL",False,"ward 19 precinct 17, ward 19 precinct 50"
St Ignatius Church,"6559 N Glenwood Av, Chicago, IL",False,"ward 49 precinct 2, ward 49 precinct 12"
Jefferson Park Library,"5363 W Lawrence Av, Chicago, IL",True,ward 45 precinct 16
Henry Nash School,"4837 W Erie St, Chicago, IL",True,ward 37 precinct 30
Addams School,"10810 S Avenue H, Chicago, IL",True,"ward 10 precinct 11, ward 10 precinct 28, ward 10 precinct 32"
St Mark Parish,"1048 N Campbell Av, Chicago, IL",True,"ward 1 precinct 15, ward 1 precinct 18"
Empty Store Front,"4339 W Cermak Rd, Chicago, IL",True,ward 22 precinct 21
Tuley Park,"501 E 90 Pl, Chicago, IL",False,"ward 9 precinct 12, ward 9 precinct 23, ward 9 precinct 25, ward 9 precinct 36, ward 9 precinct 48"
Hoyne School,"8905 S Crandon Av, Chicago, IL",True,ward 7 precinct 33
Most Worshipful St James Grand Lodge,"8220 S Western Av, Chicago, IL",True,ward 18 precinct 41
Jordan Community School,"7414 N Wolcott Av, Chicago, IL",True,ward 49 precinct 19
Northtown Branch Library,"6435 N California Av, Chicago, IL",True,ward 50 precinct 19
John Hay Cmty Academy,"1018 N Laramie Av, Chicago, IL",True,"ward 37 precinct 15, ward 37 precinct 25"
Norwood Lutheran Church,"5917 N Nina Av, Chicago, IL",True,"ward 41 precinct 26, ward 41 precinct 46"
Drexel Square Apts,"810 E Hyde Park Bv, Chicago, IL",True,ward 4 precinct 33
Truman College,"1145 W Wilson Av, Chicago, IL",True,"ward 46 precinct 1, ward 46 precinct 2, ward 46 precinct 20, ward 46 precinct 25"
Independence Library,"3548 W Irving Pk Rd, Chicago, IL",True,ward 35 precinct 23
Kenneth Campbell Apartments,"6360 S Minerva Av, Chicago, IL",True,"ward 20 precinct 9, ward 20 precinct 22"
Thomas Chalmers School,"2745 W Roosevelt Rd, Chicago, IL",True,ward 28 precinct 34
Mount Greenwood Library,"11010 S Kedzie Av, Chicago, IL",True,ward 19 precinct 54
Gale School,"1619 W Jonquil, Chicago, IL",False,"ward 49 precinct 6, ward 49 precinct 31"
Christian Fellowship Free Church,"3425 N Damen Av, Chicago, IL",True,"ward 32 precinct 21, ward 32 precinct 25"
Senior Suite Of Rainbow Beach,"2804 E 77 Pl, Chicago, IL",True,"ward 7 precinct 14, ward 7 precinct 18"
Oglesby School,"7641 S Peoria St, Chicago, IL",False,"ward 17 precinct 2, ward 17 precinct 9"
Liberty Baptist Church,"4849 S M L King Jr Dr, Chicago, IL",False,"ward 3 precinct 31, ward 3 precinct 37"
Logan Sq Library,"3030 W Fullerton, Chicago, IL",True,"ward 32 precinct 11, ward 32 precinct 14"
Alcott School,"2625 N Orchard St, Chicago, IL",False,"ward 43 precinct 21, ward 43 precinct 22, ward 43 precinct 40"
Burroughs School,"3542 S Washtenaw Av, Chicago, IL",True,ward 12 precinct 2
St Joseph Village Of Chicago,"4021 W Belmont Av, Chicago, IL",True,"ward 31 precinct 23, ward 31 precinct 36"
Misericordia Home,"2001 W Devon Av, Chicago, IL",True,ward 40 precinct 35
Elizabeth Davis Apartments,"440 N Drake Av, Chicago, IL",True,ward 27 precinct 23
First Bethlehem Luth Ch,"1649 W Lemoyne St, Chicago, IL",True,"ward 2 precinct 7, ward 2 precinct 8"
George Collins Senior Apartments,"1401 S Blue Island Av, Chicago, IL",True,ward 25 precinct 29
De Diego Community Academy,"1313 N Claremont Av, Chicago, IL",True,ward 1 precinct 14
St Ita Hall Jubilee,"5500 N Broadway, Chicago, IL",True,ward 48 precinct 19
Hamilton Park,"513 W 72 St, Chicago, IL",False,"ward 6 precinct 10, ward 6 precinct 12"
St Mary Romanian Ch,"4225 N Central Av, Chicago, IL",False,"ward 38 precinct 31, ward 38 precinct 32"
Brynford Bible Church,"5700 N Pulaski Rd, Chicago, IL",True,ward 39 precinct 39
Iglesia De Dios,"1859 N Spaulding Av, Chicago, IL",False,ward 1 precinct 2
Brian Piccolo School,"1040 N Keeler Av, Chicago, IL",True,"ward 37 precinct 4, ward 37 precinct 7, ward 37 precinct 8, ward 37 precinct 28"
Chicago History Museum,"1601 N Clark St, Chicago, IL",True,"ward 43 precinct 33, ward 43 precinct 38"
Philadelphia Romanian Church,"1713 W Sunnyside Av, Chicago, IL",False,ward 47 precinct 5
Hope Presbyterian Church,"1354 W 61 St, Chicago, IL",False,ward 16 precinct 31
Israel Methodist Cmty Church,"7614 S Cottage Grove, Chicago, IL",True,ward 6 precinct 14
Northwestern Worcester House,"244 E Pearson St, Chicago, IL",True,ward 2 precinct 11
James Otis School,"525 N Armour St, Chicago, IL",True,ward 1 precinct 37
Caroline Hedger Apts,"6400 N Sheridan Rd, Chicago, IL",True,ward 49 precinct 17
Addison St Congregational Church,"2132 W Addison St, Chicago, IL",True,ward 47 precinct 4
Onahan School,"6600 W Raven St, Chicago, IL",True,"ward 41 precinct 21, ward 41 precinct 35"
St Matthias School,"4910 N Claremont Av, Chicago, IL",True,ward 40 precinct 7
Sherway Tower Apts,"4225 N Sheridan Rd, Chicago, IL",True,ward 46 precinct 11
Cal Met Village,"4101 S Calumet Av, Chicago, IL",True,ward 3 precinct 20
South Central Cmty Ctr,"1021 E 83 St, Chicago, IL",True,ward 8 precinct 14
Wicker Pk Fieldhouse,"1425 N Damen Av, Chicago, IL",True,"ward 1 precinct 11, ward 2 precinct 25"
Dominguez School,"3000 S Lawndale Av, Chicago, IL",True,"ward 22 precinct 3, ward 22 precinct 7"
Club Lucky,"1824 W Wabansia Av, Chicago, IL",False,ward 32 precinct 36
St Anns Church,"1840 S Leavitt St, Chicago, IL",False,ward 25 precinct 9
Christian Youth M B Church,"8801 S Hermitage Av, Chicago, IL",False,"ward 21 precinct 3, ward 21 precinct 16"
Columbus School,"1003 N Leavitt St, Chicago, IL",True,"ward 2 precinct 4, ward 2 precinct 14, ward 2 precinct 21"
Gary School,"3740 W 31 St, Chicago, IL",True,ward 22 precinct 10
Berger Park,"6205 N Sheridan Rd, Chicago, IL",True,ward 48 precinct 15
Hawthorne House,"3450 N Lake Shore Dr, Chicago, IL",True,ward 44 precinct 22
Washington Scene Apts,"6001 S Vernon Av, Chicago, IL",True,"ward 20 precinct 7, ward 20 precinct 19"
Hitch School,"5625 N McVicker Av, Chicago, IL",True,"ward 45 precinct 42, ward 45 precinct 43"
Holy Rock M B Church,"5854 S Morgan St, Chicago, IL",True,ward 16 precinct 36
Jackson Square Nursing Home,"5130 W Jackson Bv, Chicago, IL",True,ward 28 precinct 31
Greenview Place,"1501 W Melrose St, Chicago, IL",True,ward 44 precinct 2
Lake Terrace Condo Assoc,"7337 S South Shore Dr, Chicago, IL",True,ward 7 precinct 9
Good Shepherd Tower,"55 E Garfield Bv, Chicago, IL",True,ward 20 precinct 31
The Montclare Senior Residence,"1200 E 78 St, Chicago, IL",True,"ward 8 precinct 44, ward 8 precinct 55"
Normandy Park,"6660 W 52 St, Chicago, IL",True,ward 14 precinct 1
United In Faith Luth Church,"6525 W Irving Pk Rd, Chicago, IL",True,ward 38 precinct 8
Hungarian Baptist Church,"5757 W Windsor Av, Chicago, IL",False,ward 38 precinct 22
Nativity B V M School,"6820 S Washtenaw Av, Chicago, IL",False,ward 17 precinct 25
Beverly Bank And Trust Company,"10258 S Western Av, Chicago, IL",True,ward 19 precinct 53
Westside Learning Center,"4624 W Madison St, Chicago, IL",True,ward 28 precinct 40
Tabor Evangelical Luth Church,"3542 W Sunnyside Av, Chicago, IL",False,"ward 33 precinct 1, ward 35 precinct 20"
Park Towers Condo,"5419 N Sheridan Rd, Chicago, IL",True,ward 48 precinct 9
Kipling School,"9351 S Lowe Av, Chicago, IL",False,"ward 21 precinct 5, ward 21 precinct 24"
Risen Savior Assembly Of God,"6059 S Archer Av, Chicago, IL",False,ward 23 precinct 4
Henderson School,"5650 S Wolcott Av, Chicago, IL",False,"ward 15 precinct 3, ward 15 precinct 21, ward 15 precinct 23"
Al Raby High School,"3545 W Fulton St, Chicago, IL",True,ward 28 precinct 22
Chi-Arts School,"2714 W Augusta Bv, Chicago, IL",True,ward 26 precinct 21
Lenas Beauty College,"1140 W 87 St, Chicago, IL",True,ward 21 precinct 6
Chatham Fields Lutheran Church,"8050 S St Lawrence Av, Chicago, IL",True,"ward 6 precinct 34, ward 6 precinct 42"
Wacker School,"9746 S Morgan St, Chicago, IL",True,"ward 34 precinct 49, ward 34 precinct 52"
Pottawatomie Park,"7340 N Rogers Av, Chicago, IL",True,"ward 49 precinct 15, ward 49 precinct 33"
St Hedwig Convent,"2219 N Hamilton Av, Chicago, IL",False,ward 32 precinct 37
