name,address,accessible,wards_precincts
North Pulaski Library,"4300 W North Av, Chicago, IL",True,ward 26 precinct 13
Caldwell Woods,"6358 W Devon Av, Chicago, IL",True,ward 41 precinct 32
Rosedale Park,"6312 W Rosedale Av, Chicago, IL",True,"ward 39 precinct 21, ward 45 precinct 44"
UNO Brighton Park Campus,"4420 S Fairfield Av, Chicago, IL",True,ward 15 precinct 6
First Vietnamese United Methodist Church,"3100 W Wilson Av, Chicago, IL",True,"ward 33 precinct 3, ward 33 precinct 8"
Chicago Police Station,"1438 W 63 St, Chicago, IL",True,"ward 16 precinct 9, ward 16 precinct 34"
Marina Towers Condo,"300 N State St, Chicago, IL",True,ward 42 precinct 27
Revere Park,"2509 W Irving Park Rd, Chicago, IL",False,ward 47 precinct 17
Martin Luther Lutheran Church,"6850 W Addison St, Chicago, IL",False,"ward 38 precinct 10, ward 38 precinct 16"
Chicago Fire Station,"2240 W 69 St, Chicago, IL",True,ward 17 precinct 36
Brentano School,"2723 N Fairfield Av, Chicago, IL",True,ward 32 precinct 43
West Ridge Untd Methodist Church,"2301 W Lunt Av, Chicago, IL",False,"ward 50 precinct 15, ward 50 precinct 37"
Nicholson School,"6066 S Peoria St, Chicago, IL",True,ward 16 precinct 25
Rose Of Light M B Church,"1302 W 74 St, Chicago, IL",True,ward 17 precinct 23
Edgebrook School,"6525 N Hiawatha Av, Chicago, IL",False,"ward 41 precinct 9, ward 41 precinct 19"
Shabbona Park,"6935 W Addison St, Chicago, IL",True,ward 38 precinct 4
South Commons Phase 1 Condo,"2921 S Michigan Av, Chicago, IL",False,ward 4 precinct 14
West Byron Place,"2815 W Byron St, Chicago, IL",True,ward 33 precinct 10
Willa Rawls Manor Apts,"4120 S Indiana Av, Chicago, IL",True,ward 3 precinct 24
Pleasant Green MB Church,"7545 S Vincennes Av, Chicago, IL",True,ward 6 precinct 19
Galewood Park Field House,"5729 W Bloomingdale Av, Chicago, IL",True,ward 29 precinct 24
Villla Guadalupe Senior Services,"3201 E 91 St, Chicago, IL",True,ward 10 precinct 1
Montclare United Church Of Christ,"6935 W Medill Av, Chicago, IL",True,ward 36 precinct 27
Dett School,"2131 W Monroe St, Chicago, IL",True,ward 27 precinct 25
North Shore Spanish Church,"5158 N Nagle Av, Chicago, IL",True,"ward 45 precinct 45, ward 45 precinct 46"
Island Terrace Apartments,"6430 S Stony Island Av, Chicago, IL",True,ward 5 precinct 5
West Haven Park Apartments,"1939 W Lake St, Chicago, IL",True,ward 27 precinct 27
Winston Tower #4 Condo,"7033 N Kedzie Av, Chicago, IL",True,ward 50 precinct 38
The Cloisters,"5801 S Dorchester Av, Chicago, IL",True,ward 5 precinct 34
Ceviche Peruvian Resturant,"2554 W Diversey Av, Chicago, IL",True,"ward 33 precinct 5, ward 33 precinct 19"
St Eugene Church,"5220 N Canfield Av, Chicago, IL",True,"ward 41 precinct 13, ward 41 precinct 23"
Boiler Makers Union Local 1,"2941 S Archer Av, Chicago, IL",True,ward 11 precinct 9
Salvation Army,"945 W 69 St, Chicago, IL",True,"ward 6 precinct 26, ward 6 precinct 27"
Donovan Park,"3620 S Lituanica Av, Chicago, IL",True,ward 11 precinct 25
Bradwell School,"7736 S Burnham Av, Chicago, IL",False,"ward 7 precinct 16, ward 7 precinct 17"
Garvey School,"5225 N Oak Park Av, Chicago, IL",False,"ward 41 precinct 24, ward 41 precinct 30, ward 41 precinct 38"
Uplift Community High School,"900 W Wilson Av, Chicago, IL",True,ward 46 precinct 23
Jefferson Park,"4822 N Long, Chicago, IL",False,"ward 45 precinct 19, ward 45 precinct 20"
Mcgrath City Honda,"6720 W Grand Av, Chicago, IL",True,ward 36 precinct 3
Su Nueva Laundromat,"4314 W Marquette Rd, Chicago, IL",True,ward 13 precinct 5
Fuller Park,"331 W 45 St, Chicago, IL",True,"ward 3 precinct 5, ward 3 precinct 10"
Lloyd School,"2103 N Lamon Av, Chicago, IL",False,ward 36 precinct 8
Peirce School,"1423 W Bryn Mawr Av, Chicago, IL",True,"ward 48 precinct 7, ward 48 precinct 37, ward 48 precinct 44"
Trinity United Baptist Church,"8048 S Ashland Av, Chicago, IL",True,ward 21 precinct 26
Trinity United Methodist Church,"9848 S Winchester Av, Chicago, IL",True,"ward 19 precinct 19, ward 19 precinct 25"
Clay School,"13231 S Burley, Chicago, IL",True,"ward 10 precinct 5, ward 10 precinct 16"
Davis School Annex,"3050 W 39 Pl, Chicago, IL",True,ward 12 precinct 12
Senior Suites Of South Shore,"2355 E 67 St, Chicago, IL",True,"ward 5 precinct 29, ward 5 precinct 32"
Carroll School,"2929 W 83 St, Chicago, IL",True,"ward 18 precinct 16, ward 18 precinct 26, ward 18 precinct 35"
Napleton Northwestern Chrysler,"5950 N Western Av, Chicago, IL",True,"ward 40 precinct 15, ward 40 precinct 39"
Bethel Deliverance Church,"5330 W Division St, Chicago, IL",True,ward 37 precinct 23
The Junior League Of Chicago,"1447 N Astor St, Chicago, IL",False,ward 43 precinct 43
Mt Pisgah Missionary Bapt Ch,"4622 S M L King Dr, Chicago, IL",False,ward 3 precinct 11
Agape Community Ctr,"342 W 111 St, Chicago, IL",True,ward 34 precinct 37
Tempel Steel Co,"5440 N Wolcott Av, Chicago, IL",True,ward 40 precinct 32
Chicago Fire Station,"1915 S Damen Av, Chicago, IL",True,ward 25 precinct 22
Cesar Chavez School,"4747 S Marshfield Av, Chicago, IL",True,ward 20 precinct 20
Winston Tower #5 Condo,"7141 N Kedzie Av, Chicago, IL",False,ward 50 precinct 16
Northwestern Settlement Assoc,"1400 W Augusta Bv, Chicago, IL",True,ward 2 precinct 5
Greater Canaan M B Church,"35 W 119 St, Chicago, IL",True,ward 9 precinct 18
444 St James Apartments,"444 W St James Pl, Chicago, IL",True,ward 43 precinct 27
Douglas Park Baptist Church,"1838 S Kedzie Av, Chicago, IL",False,"ward 24 precinct 10, ward 24 precinct 38"
Rudy Lozano Branch Library,"1805 S Loomis St, Chicago, IL",True,"ward 25 precinct 2, ward 25 precinct 7"
St Wenceslaus Church,"3425 N Lawndale Av, Chicago, IL",False,"ward 30 precinct 8, ward 30 precinct 32"
Bethlehem Evan Luth Church,"9401 S Oakley Av, Chicago, IL",False,"ward 19 precinct 5, ward 19 precinct 56"
Appleville Condos,"501 W 24 Pl, Chicago, IL",False,ward 11 precinct 37
Executive Building,"7601 S Kostner, Chicago, IL",True,ward 18 precinct 15
St Hyacinth School,"2845 N Lawndale Av, Chicago, IL",True,"ward 30 precinct 18, ward 30 precinct 24"
Kipp Ascend Primary School,"1440 S Christiana Av, Chicago, IL",True,"ward 24 precinct 12, ward 24 precinct 13"
Dawes Park,"8040 S Damen Av, Chicago, IL",False,ward 18 precinct 19
Blaine School,"1420 W Grace St, Chicago, IL",False,"ward 44 precinct 16, ward 44 precinct 25"
Lake View High School,"4015 N Ashland Av, Chicago, IL",False,"ward 47 precinct 18, ward 47 precinct 24"
James Sneider Apartments,"7450 N Rogers Av, Chicago, IL",True,ward 49 precinct 5
Gage Park High School,"5630 S Rockwell St, Chicago, IL",True,ward 15 precinct 16
Bluebird Lanes,"3900 W Columbus Av, Chicago, IL",True,"ward 18 precinct 7, ward 18 precinct 36"
Access Living,"115 W Chicago Av, Chicago, IL",True,"ward 2 precinct 41, ward 42 precinct 23"
Hyde Park West Apartments,"5325 S Cottage Grove, Chicago, IL",True,ward 5 precinct 15
Chicago Fire Station,"3918 N Harlem Av, Chicago, IL",True,ward 38 precinct 3
Chicago Dept On Aging,"3160 N Milwaukee Av, Chicago, IL",True,ward 30 precinct 25
Sacramento Elderly Apartments,"2451 N Sacramento Av, Chicago, IL",True,ward 1 precinct 19
Judge Slater Apartments,"740 E 43 St, Chicago, IL",True,"ward 4 precinct 18, ward 4 precinct 29"
Park Manor Christian Church,"600 E 73 St, Chicago, IL",False,"ward 6 precinct 30, ward 6 precinct 40"
St John Lutheran Church,"4939 W Montrose Av, Chicago, IL",True,"ward 45 precinct 12, ward 45 precinct 14"
Scammon School,"4201 W Henderson St, Chicago, IL",True,ward 30 precinct 7
McCutcheon School,"4865 N Sheridan Rd, Chicago, IL",True,ward 46 precinct 37
Saint Barnabas School,"10121 S Longwood Dr, Chicago, IL",True,ward 19 precinct 26
Gloria Dei Lutheran School,"5259 S Major Av, Chicago, IL",False,ward 14 precinct 9
55 East Erie Condo Assoc,"55 E Erie St, Chicago, IL",True,ward 42 precinct 22
Amundsen Pk,"6200 W Bloomingdale Av, Chicago, IL",True,"ward 29 precinct 15, ward 29 precinct 17, ward 29 precinct 36"
St Agnes Church,"2658 S Central Park Av, Chicago, IL",True,"ward 22 precinct 9, ward 22 precinct 25"
Lawler Park,"5210 W 64 St, Chicago, IL",True,ward 13 precinct 27
Green Briar Park,"2650 W Peterson Av, Chicago, IL",False,ward 40 precinct 10
Winwood Apartments,"1406 W Winona St, Chicago, IL",True,ward 47 precinct 23
United Church Of Rogers Park,"1545 W Morse Av, Chicago, IL",True,ward 49 precinct 23
5445 Edgewater Plz Condo,"5445 N Sheridan Rd, Chicago, IL",True,ward 48 precinct 14
Taqueria Los Comales #12,"6035 S Pulaski Rd, Chicago, IL",True,ward 23 precinct 5
International Social Club,"3109 W Devon Av, Chicago, IL",False,"ward 50 precinct 23, ward 50 precinct 39"
Mc Clellan School,"3527 S Wallace St, Chicago, IL",False,ward 11 precinct 29
Alden Village North,"7464 N Sheridan Rd, Chicago, IL",True,ward 49 precinct 16
Chicago Fire House,"1129 W Chicago Av, Chicago, IL",True,ward 27 precinct 1
West Park Academy,"1425 N Tripp Av, Chicago, IL",True,ward 26 precinct 19
Beard School,"6445 W Strong St, Chicago, IL",True,"ward 45 precinct 27, ward 45 precinct 47, ward 45 precinct 48"
Praying Hands Cmty Center,"7185 W Bloomingdale Av, Chicago, IL",True,ward 29 precinct 23
Gompers Park,"4222 W Foster Av, Chicago, IL",True,ward 39 precinct 38
500 N Lake Shore Dr,"500 N Lake Shore Dr, Chicago, IL",True,ward 42 precinct 4
New Inspirational Mb Ch,"5825 W Division St, Chicago, IL",True,ward 29 precinct 13
Burley School,"1630 W Barry Av, Chicago, IL",True,"ward 32 precinct 30, ward 32 precinct 40"
Hanul Family Alliance,"5008 N Kedzie Av, Chicago, IL",True,ward 33 precinct 18
Bessie Coleman Library,"731 E 63 St, Chicago, IL",True,"ward 20 precinct 5, ward 20 precinct 33"
Chicago Sinai Congregation,"15 W Delaware Pl, Chicago, IL",True,ward 2 precinct 43
Chicago Fire Station,"21 W 59 St, Chicago, IL",True,ward 20 precinct 37
1st St Pauls Evan Luth Ch,"1301 N LaSalle Dr, Chicago, IL",True,"ward 2 precinct 28, ward 2 precinct 35"
Chicago Police Station,"6464 N Clark St, Chicago, IL",True,ward 40 precinct 28
Faith Tabernacle Church,"8201 S Stony Island Av, Chicago, IL",False,ward 8 precinct 30
Prairie Shores Apts,"2901 S M L King Dr, Chicago, IL",True,ward 4 precinct 28
Chicago Fire Station,"5955 S Ashland Av, Chicago, IL",True,ward 16 precinct 5
Mt Greenwood Elementary,"10841 S Homan Av, Chicago, IL",True,"ward 19 precinct 30, ward 19 precinct 33"
Briskus Bistro,"4100 N Kedzie Av, Chicago, IL",True,ward 33 precinct 17
New Life Community Church,"5700 W Berteau Av, Chicago, IL",True,"ward 38 precinct 11, ward 38 precinct 40"
Lubavitch Chabad Of Illinois,"2833 W Howard St, Chicago, IL",True,"ward 50 precinct 2, ward 50 precinct 3"
Lakeview East Cooperative,"707 W Waveland Av, Chicago, IL",True,"ward 46 precinct 10, ward 46 precinct 30"
Revival Fellowship C O G I C,"2810 W Washington Bv, Chicago, IL",True,ward 27 precinct 39
Edgewater Plaza Condo,"5455 N Sheridan Rd, Chicago, IL",True,ward 48 precinct 36
Swift School,"5900 N Winthrop Av, Chicago, IL",True,ward 48 precinct 31
Car Outlet,"4517 S Archer Av, Chicago, IL",True,ward 14 precinct 10
Holiness Is The Way Church,"8210 S Racine Av, Chicago, IL",True,ward 21 precinct 28
Internet Cafe,"5311 S Kedzie Av, Chicago, IL",True,ward 14 precinct 26
Queen Of Angels Church,"4412 N Western Av, Chicago, IL",True,"ward 47 precinct 16, ward 47 precinct 21"
Mayfair Plaza Corp,"4001 W Devon Av, Chicago, IL",True,ward 39 precinct 26
Solomon School,"6206 N Hamlin Av, Chicago, IL",True,"ward 39 precinct 32, ward 39 precinct 36"
Locke School,"2845 N Newcastle Av, Chicago, IL",True,ward 36 precinct 19
Chicago Fire Station,"432 E Marquette Rd, Chicago, IL",True,ward 20 precinct 10
South Chicago Library,"9055 S Houston Av, Chicago, IL",True,ward 10 precinct 36
West Pullman Park,"401 W 123 St, Chicago, IL",True,"ward 9 precinct 39, ward 34 precinct 16, ward 34 precinct 50"
Southwest Regional Ctr,"6117 S Kedzie Av, Chicago, IL",True,ward 16 precinct 35
Lorraine Hansberry Apartments,"5670 W Lake St, Chicago, IL",True,ward 29 precinct 33
Evangelical Luth Ch/Dr Martin Luther,"5344 S Francisco Av, Chicago, IL",False,ward 14 precinct 30
Pilsen Academy,"1420 W 17 St, Chicago, IL",True,ward 25 precinct 24
Emmett L Till School,"6543 S Champlain Av, Chicago, IL",True,ward 20 precinct 18
Chase Park,"4701 N Ashland Av, Chicago, IL",True,ward 47 precinct 31
Eastwood Tower,"4640 N Sheridan Rd, Chicago, IL",True,ward 46 precinct 8
Greater St Paul Ame Church,"4236 W Cermak Rd, Chicago, IL",False,ward 24 precinct 29
Vivian Carter Apts,"6401 S Yale, Chicago, IL",True,ward 20 precinct 29
Lincoln Perry Sr Bldg,"3245 S Prairie Av, Chicago, IL",True,"ward 3 precinct 7, ward 3 precinct 41"
Brainerd Senior Ctr,"8915 S Loomis St, Chicago, IL",True,ward 21 precinct 36
Kilbourn Park,"3501 N Kilbourn Av, Chicago, IL",True,"ward 30 precinct 26, ward 30 precinct 27, ward 30 precinct 31"
Scottsdale Park,"4637 W 83 St, Chicago, IL",True,ward 18 precinct 24
North Pk Covenant Church,"5250 N Christiana Av, Chicago, IL",True,"ward 39 precinct 30, ward 39 precinct 35"
Bread Of Life Missionary Baptist Ch,"1924 W 63 St, Chicago, IL",True,ward 15 precinct 24
Monroe School,"3651 W Schubert Av, Chicago, IL",True,"ward 35 precinct 15, ward 35 precinct 28"
New Life Community Church,"1110 W Lill Av, Chicago, IL",False,ward 43 precinct 2
Basil Charter School,"1816 W Garfield Bv, Chicago, IL",False,"ward 16 precinct 2, ward 16 precinct 8, ward 16 precinct 12"
Ricobenes,"252 W 26 St, Chicago, IL",True,ward 11 precinct 30
Wilson Park,"4630 N Milwaukee Av, Chicago, IL",True,"ward 45 precinct 15, ward 45 precinct 17"
Grover Cleveland School,"3121 W Byron St, Chicago, IL",True,"ward 33 precinct 6, ward 33 precinct 12"
Bennett School,"10115 S Prairie Av, Chicago, IL",False,ward 9 precinct 35
Alegre Restaurant,"5406 W Fullerton Av, Chicago, IL",True,ward 30 precinct 19
The Kenwood Of Lakeview,"3121 N Sheridan Rd, Chicago, IL",True,"ward 44 precinct 17, ward 44 precinct 35"
Saint Joseph Mens Club,"2724 S Union Av, Chicago, IL",False,ward 11 precinct 10
Carlos Fuentes Charter School,"2845 W Barry Av, Chicago, IL",True,"ward 33 precinct 13, ward 33 precinct 14"
United Steel Workers 2154,"5744 S Western Av, Chicago, IL",False,"ward 16 precinct 11, ward 16 precinct 23"
New Beginnings Church,"6620 S M L King Jr Dr, Chicago, IL",True,ward 20 precinct 35
Lafayette Plaza House,"50 W 71 St, Chicago, IL",True,ward 6 precinct 4
Dunne Technology Academy,"10845 S Union Av, Chicago, IL",True,ward 34 precinct 30
Iglesia Evangelica Misionera,"1515 N Homan Av, Chicago, IL",False,"ward 26 precinct 6, ward 26 precinct 12"
Kanoon Magnet School,"2233 S Kedzie Av, Chicago, IL",True,ward 12 precinct 16
Chicago Fire Station,"2528 S Throop St, Chicago, IL",True,ward 11 precinct 1
Chicago Police Station,"1900 W Monterey Av, Chicago, IL",True,"ward 19 precinct 43, ward 19 precinct 48"
Harper Square Co-Operative,"4850 S Lake Park Av, Chicago, IL",True,ward 4 precinct 9
River Park,"5100 N Francisco Av, Chicago, IL",True,ward 40 precinct 17
155 Harbor Condo Assoc,"155 N Harbor Dr, Chicago, IL",True,ward 42 precinct 13
Sheil Park,"3505 N Southport, Chicago, IL",True,"ward 44 precinct 9, ward 44 precinct 11, ward 44 precinct 30"
Lawless Garden Apartments,"3510 S Rhodes Av, Chicago, IL",True,ward 4 precinct 19
Mt Greenwood Lutheran Ch,"10901 S Trumbull Av, Chicago, IL",True,"ward 19 precinct 24, ward 19 precinct 44"
The Rock Of Love Church,"7628 S Ashland Av, Chicago, IL",True,ward 17 precinct 26
Haas Park,"2402 N Washtenaw Av, Chicago, IL",True,"ward 1 precinct 7, ward 1 precinct 41"
Foreman High School,"3235 N Le Claire Av, Chicago, IL",True,"ward 31 precinct 8, ward 31 precinct 34"
Math &amp; Science Academy,"2231 N Central Av, Chicago, IL",True,ward 36 precinct 21
Elizabeth/Larrabee Apartments,"1845 N Larrabee St, Chicago, IL",True,"ward 43 precinct 9, ward 43 precinct 45"
Our Lady Of Mercy Church,"4432 N Troy, Chicago, IL",True,ward 33 precinct 20
Paul Robeson High School,"6835 S Normal Av, Chicago, IL",True,ward 6 precinct 15
Maryland Ave Baptist Church,"8058 S Maryland Av, Chicago, IL",False,ward 8 precinct 45
Brainerd Park,"1246 W 92 St, Chicago, IL",True,"ward 21 precinct 19, ward 21 precinct 22, ward 21 precinct 42"
Swedish American Museum,"5211 N Clark St, Chicago, IL",True,ward 48 precinct 10
Wesley United Methodist Church,"201 E 95 St, Chicago, IL",True,"ward 9 precinct 24, ward 9 precinct 51"
Alpha Towers,"936 E 47 St, Chicago, IL",True,ward 4 precinct 15
Adams Park,"1919 N Seminary Av, Chicago, IL",True,ward 43 precinct 10
345 Fullerton Parkway Condominium,"345 W Fullerton Pkwy, Chicago, IL",True,ward 43 precinct 12
Lincoln Belmont Library,"1659 W Melrose St, Chicago, IL",True,"ward 47 precinct 9, ward 47 precinct 11"
Kosciuszko Park,"2732 N Avers Av, Chicago, IL",True,"ward 31 precinct 7, ward 31 precinct 40"
Christian Fellowship Church,"4220 W 59 St, Chicago, IL",True,ward 13 precinct 40
Greater Hope Fellowship Church,"3844 W Roosevelt Rd, Chicago, IL",True,ward 24 precinct 30
400 N LaSalle Condo,"400 N LaSalle St, Chicago, IL",True,ward 42 precinct 32
Chopin School,"2450 W Rice St, Chicago, IL",True,"ward 26 precinct 3, ward 26 precinct 39"
Graham School Annex,"745 W 45 St, Chicago, IL",True,ward 11 precinct 13
Chicago Fire Station,"3801 N Damen Av, Chicago, IL",True,"ward 47 precinct 27, ward 47 precinct 29"
The Connection Cmty Church,"9100 S Merrill Av, Chicago, IL",True,ward 7 precinct 32
Assumption Church,"323 W Illinois St, Chicago, IL",True,ward 42 precinct 14
St Simeon Church,"3737 E 114 St, Chicago, IL",True,"ward 10 precinct 19, ward 10 precinct 35"
Chgo Department On Aging,"1767 E 79 St, Chicago, IL",True,ward 8 precinct 13
Wadsworth Stem School,"6650 S Ellis Av, Chicago, IL",True,ward 5 precinct 16
Wilson Community Center,"3225 S Racine Av, Chicago, IL",False,ward 11 precinct 11
Excel Academy/ South Shore,"7530 S South Shore Dr, Chicago, IL",True,ward 7 precinct 13
Sheridan Park,"910 S Aberdeen St, Chicago, IL",True,ward 25 precinct 25
Shedd Park,"3660 W 23 St, Chicago, IL",True,ward 22 precinct 19
Hale School,"6140 S Melvina Av, Chicago, IL",True,"ward 13 precinct 2, ward 13 precinct 11"
La Fuente Banquet Hall,"2514 W 51 St, Chicago, IL",True,ward 14 precinct 25
Ruiz School,"2410 S Leavitt St, Chicago, IL",True,"ward 25 precinct 5, ward 25 precinct 26"
Iglesia Evangelica Emanuel,"5018 W Armitage Av, Chicago, IL",True,ward 36 precinct 6
Mc Guane Park,"2901 S Poplar Av, Chicago, IL",True,ward 11 precinct 4
Hayes Park,"2936 W 85 St, Chicago, IL",True,"ward 18 precinct 9, ward 18 precinct 34, ward 18 precinct 37"
Bateman School,"4221 N Sacramento Av, Chicago, IL",True,"ward 33 precinct 21, ward 33 precinct 23"
United Baptist Church,"4220 W Roosevelt Rd, Chicago, IL",True,ward 24 precinct 22
Greater Canaan Mb Ch Adm Building,"36 W 119 St, Chicago, IL",True,ward 34 precinct 9
Chicago Fire Station Engine 121,"1724 W 95 St, Chicago, IL",True,ward 19 precinct 13
Soukal Floral Greenhouse,"5336 S Mason Av, Chicago, IL",True,ward 23 precinct 22
Temple Sholom,"3480 N Lake Shore Dr, Chicago, IL",True,"ward 44 precinct 12, ward 46 precinct 31, ward 46 precinct 33"
North Orchard Pl,"1600 N Orchard St, Chicago, IL",True,ward 2 precinct 12
De Paul College Prep,"3633 N California Av, Chicago, IL",True,ward 33 precinct 22
Spaulding Ave Church Of God,"1132 N Spaulding Av, Chicago, IL",True,ward 26 precinct 2
St Augustine College,"1333 W Argyle St, Chicago, IL",True,"ward 47 precinct 15, ward 47 precinct 19"
Mathew Gallistell Language Acdmy,"10347 S Ewing Av, Chicago, IL",False,"ward 10 precinct 29, ward 10 precinct 30, ward 10 precinct 31"
American Indian Center,"1630 W Wilson Av, Chicago, IL",True,ward 47 precinct 34
Margate Park,"4921 N Marine Dr, Chicago, IL",True,ward 48 precinct 24
Dickens &amp; Burling Apts,"2111 N Halsted St, Chicago, IL",True,ward 43 precinct 7
Lincoln Pk Br Library,"1150 W Fullerton Av, Chicago, IL",True,"ward 43 precinct 16, ward 43 precinct 39"
Sumner School,"4320 W Fifth Av, Chicago, IL",True,"ward 24 precinct 19, ward 24 precinct 32"
Augusta Play Ground,"4431 W Augusta Bv, Chicago, IL",True,ward 37 precinct 21
Fairfield Academy,"6201 S Fairfield Av, Chicago, IL",False,"ward 16 precinct 13, ward 16 precinct 17, ward 16 precinct 22, ward 16 precinct 32"
Catholic Theological Union,"5401 S Cornell Av, Chicago, IL",True,"ward 5 precinct 18, ward 5 precinct 23"
Grace St Towers,"635 W Grace St, Chicago, IL",True,ward 46 precinct 3
Mike Anderson Cheverolet,"5301 W Irving Park Rd, Chicago, IL",True,ward 38 precinct 35
Steinmetz School,"3030 N Mobile Av, Chicago, IL",True,ward 36 precinct 24
Gill Park,"833 W Sheridan Rd, Chicago, IL",True,ward 46 precinct 5
Leclaire Park,"5120 W 44 St, Chicago, IL",True,ward 22 precinct 23
Metropolis Coffee Co,"1039 W Granville Av, Chicago, IL",True,ward 48 precinct 32
Sherman School,"1000 W 52 St, Chicago, IL",True,"ward 20 precinct 4, ward 20 precinct 25"
Major Charles L Hunt VFW Post,"344 W 119 St, Chicago, IL",True,ward 34 precinct 14
Academy Square Apartments,"318 S Throop St, Chicago, IL",True,ward 27 precinct 2
Vets Memorial Park,"2820 E 98 St, Chicago, IL",True,"ward 10 precinct 7, ward 10 precinct 21"
Dearborn Station,"47 W Polk St, Chicago, IL",True,ward 4 precinct 20
Belden Stratford Apartments,"2300 N Lincoln Pk West, Chicago, IL",True,ward 43 precinct 32
Windy City Field House,"2367 W Logan Bv, Chicago, IL",True,"ward 1 precinct 42, ward 32 precinct 1"
Residence/River East Cond0,"512 N McClurg Ct, Chicago, IL",True,ward 42 precinct 26
McKinley Park,"2210 W Pershing Rd, Chicago, IL",True,ward 12 precinct 21
Sky Fifty Five Apts,"1251 S Michigan Av, Chicago, IL",True,ward 3 precinct 32
Ida Crown Jewish Academy,"2828 W Pratt Av, Chicago, IL",True,ward 50 precinct 11
Fisher Apartments,"5821 N Broadway, Chicago, IL",True,ward 48 precinct 16
Nightingale School,"5250 S Rockwell St, Chicago, IL",True,ward 14 precinct 14
St Stanislaus School,"1255 N Noble St, Chicago, IL",True,ward 2 precinct 1
Chappell Elementary,"2135 W Foster Av, Chicago, IL",True,ward 40 precinct 11
St Joseph Ukranian Church,"5000 N Cumberland Av, Chicago, IL",True,"ward 41 precinct 25, ward 41 precinct 27"
Prescott School,"1632 W Wrightwood Av, Chicago, IL",False,ward 32 precinct 27
Riis Park,"6100 W Fullerton Av, Chicago, IL",False,"ward 30 precinct 11, ward 30 precinct 29"
Lawn Lane Bowl,"6750 S Pulaski Rd, Chicago, IL",True,ward 13 precinct 46
Fredrick Douglass Library,"3353 W 13 St, Chicago, IL",True,ward 24 precinct 35
Kennedy Park District,"11320 S Western Av, Chicago, IL",True,"ward 19 precinct 7, ward 19 precinct 32"
Albany Terrace Apartments,"3030 W 21 Pl, Chicago, IL",True,ward 24 precinct 39
Beacon Therapeutic School,"10650 S Longwood Dr, Chicago, IL",True,ward 19 precinct 42
Reinberg School,"3425 N Major Av, Chicago, IL",True,"ward 36 precinct 17, ward 36 precinct 20"
Leonas Restaurant,"6935 N Sheridan Rd, Chicago, IL",True,ward 49 precinct 9
St Sabina Elders Apartments,"1222 W 79 St, Chicago, IL",True,ward 17 precinct 24
Parkside School,"6938 S East End Av, Chicago, IL",True,ward 5 precinct 10
Julian High School,"10330 S Elizabeth St, Chicago, IL",True,ward 34 precinct 35
Fresh Market Place,"2644 N Central Av, Chicago, IL",True,ward 30 precinct 14
Spencer Technology Academy,"214 N Lavergne Av, Chicago, IL",True,"ward 28 precinct 42, ward 28 precinct 43"
Brownell School,"6741 S Michigan Av, Chicago, IL",False,"ward 6 precinct 9, ward 20 precinct 28"
Armour Square Apartments,"3250 S Wentworth Av, Chicago, IL",True,ward 11 precinct 35
Smith Village,"2320 W 113 Pl, Chicago, IL",True,ward 19 precinct 14
Aldridge School,"630 E 131 St, Chicago, IL",True,"ward 9 precinct 3, ward 9 precinct 15, ward 9 precinct 33"
Calvary Baptist Church,"2012 E 83 St, Chicago, IL",True,ward 8 precinct 53
Morrill School,"6011 S Rockwell St, Chicago, IL",True,"ward 16 precinct 19, ward 16 precinct 21"
Webster School,"4055 W Arthington St, Chicago, IL",True,"ward 24 precinct 17, ward 24 precinct 20"
Hancock High School,"4034 W 56 St, Chicago, IL",True,ward 13 precinct 15
Second Unitarian Church,"656 W Barry Av, Chicago, IL",True,"ward 44 precinct 6, ward 44 precinct 18"
John Gregory School,"3715 W Polk St, Chicago, IL",True,ward 24 precinct 4
Lawndale Christian Health Ctr,"3860 W Ogden Av, Chicago, IL",True,"ward 24 precinct 31, ward 24 precinct 36"
Ellington School,"243 N Parkside Av, Chicago, IL",True,"ward 29 precinct 11, ward 29 precinct 21"
Ada S McKinley Apts,"661 E 69 St, Chicago, IL",True,ward 20 precinct 8
Saint Xavier University Shannon Center,"3700 W 103 St, Chicago, IL",True,ward 19 precinct 9
St Peter Lutheran Church,"8550 S Kedvale Av, Chicago, IL",True,"ward 18 precinct 3, ward 18 precinct 6"
Second Mt Vernon Annex,"2101 W 79 St, Chicago, IL",False,ward 18 precinct 20
Belmont Place Apartments,"4645 W Belmont Av, Chicago, IL",True,ward 31 precinct 6
Apostolic Faith Church,"3823 S Indiana, Chicago, IL",True,ward 3 precinct 35
Hermitage Park,"5839 S Wood St, Chicago, IL",True,ward 15 precinct 17
St Nicholas Cathedral,"2238 W Rice St, Chicago, IL",True,ward 2 precinct 17
Chicago Lawn Branch Library,"6120 S Kedzie Av, Chicago, IL",False,ward 23 precinct 17
The Salvation Army,"2270 N Clybourn Av, Chicago, IL",True,"ward 2 precinct 20, ward 2 precinct 26"
Dore School,"6108 S Natoma Av, Chicago, IL",True,"ward 13 precinct 31, ward 13 precinct 38"
Plaza Taino,"1111 N Francisco Av, Chicago, IL",True,ward 26 precinct 27
Goethe School,"2236 N Rockwell St, Chicago, IL",True,ward 1 precinct 16
Byrne School,"5329 S Oak Park Av, Chicago, IL",True,"ward 23 precinct 16, ward 23 precinct 21"
